ID,Date,Drops per mL,Field Number,Main Dilution,Nematode Dilution,Bacterial Dilution,Bacterial FOV,Bac1,Bac2,Bac3,Bac4,Bac5,Bf Nem,Ff Nem,Rf Nem,Pred Nem,Flagellates,Amoeba,Ciliates
R4S4,11-Jul-23,19,18,10,10,225,Quarter,65,55,60,63,59,0,0,0,0,0,0,0
R5S2,11-Jul-23,19,18,10,10,225,Quarter,25,27,30,28,23,0,0,0,0,0,0,0
R5S4,11-Jul-23,19,18,10,10,225,Half,25,27,30,28,29,0,0,0,0,0,0,0
R6S1,11-Jul-23,19,18,15,15,225,Quarter,36,38,41,39,45,0,0,0,0,0,0,0
R6S2,11-Jul-23,19,18,10,10,225,Quarter,36,40,38,41,39,0,0,0,0,0,0,0
R7S4,11-Jul-23,19,18,10,10,225,Quarter,45,50,48,53,49,0,0,0,0,0,0,0
R7S5,11-Jul-23,19,18,10,10,225,Quarter,38,43,44,45,41,0,0,0,0,0,0,0
R8S2,11-Jul-23,19,18,10,10,225,Quarter,36,35,37,40,42,0,0,0,0,0,0,0
R8S6,11-Jul-23,19,18,10,10,225,Quarter,25,27,23,25,26,0,0,0,0,0,0,0
R1S3,25-Jul-23,20,18,10,10,225,Quarter,60,70,68,74,65,0,0,0,0,0,0,0
R1S4,25-Jul-23,20,18,8,8,225,Quarter,120,100,110,130,111,0,0,0,0,0,0,0
R2S3,25-Jul-23,20,18,8,8,225,Quarter,55,60,65,58,83,1,0,0,0,1,0,0
R2S5,25-Jul-23,20,18,10,10,225,Quarter,70,68,80,93,75,0,0,0,0,1,0,0
R3S5,25-Jul-23,20,18,10,10,225,Quarter,90,85,88,105,93,1,0,0,0,0,0,0
R3S6,25-Jul-23,20,18,10,10,225,Quarter,70,85,75,80,79,0,0,0,0,0,0,0
R4S1,25-Jul-23,20,18,15,15,225,Quarter,120,110,130,115,125,0,0,0,0,0,0,0
R4S3,25-Jul-23,20,18,15,15,225,Quarter,140,135,150,126,142,1,0,0,0,0,0,0
R5S2,25-Jul-23,20,18,8,8,225,Quarter,22,25,24,26,27,0,0,0,0,1,0,0
R5S3,25-Jul-23,20,18,10,10,225,Quarter,60,65,70,58,63,0,0,0,0,0,0,0
R6S2,25-Jul-23,20,18,10,10,225,Quarter,67,59,63,71,64,0,0,0,0,0,0,0
R6S5,25-Jul-23,20,18,10,10,225,Quarter,80,75,83,79,81,0,0,0,0,0,0,0
R7S2,25-Jul-23,20,18,10,10,225,Quarter,85,49,83,91,86,0,0,0,0,0,0,0
R7S4,25-Jul-23,20,18,10,10,225,Quarter,45,50,53,47,49,0,0,0,0,0,0,0
R8S3,25-Jul-23,20,18,10,10,225,Quarter,80,95,76,83,91,0,0,0,0,0,0,0
R8S4,25-Jul-23,20,18,10,10,225,Quarter,65,70,75,72,68,0,0,0,0,0,0,0
R1S1,08-Aug-23,19,18,10,10,1350,Half,34,36,38,41,35,0,0,0,0,0,0,0
R1S6,08-Aug-23,19,18,10,10,1125,Whole,47,45,51,49,62,0,0,0,0,0,0,0
R2S3,08-Aug-23,19,18,9,9,1125,Quarter,29,31,27,32,30,0,0,0,0,0,0,0
R2S4,08-Aug-23,19,18,11,11,1125,Quarter,42,52,57,61,49,0,0,0,0,1,0,0
R3S5,08-Aug-23,19,18,10,10,1125,Half,35,36,37,42,29,1,0,0,0,0,0,0
R3S4,08-Aug-23,19,18,10,10,900,Whole,55,49,53,57,52,0,0,0,0,0,0,0
R4S3,08-Aug-23,19,18,10,10,1125,Half,29,31,17,28,33,0,0,0,0,0,0,0
R4S6,08-Aug-23,19,18,10,10,1125,Whole,20,21,18,23,25,1,0,0,0,0,0,0
R5S1,08-Aug-23,19,18,9,9,225,Quarter,35,29,25,30,33,0,0,0,0,0,0,0
R5S2,08-Aug-23,19,18,9,9,225,Quarter,42,45,47,49,43,0,0,0,0,0,0,0
R6S1,08-Aug-23,19,18,9,9,225,Quarter,50,48,45,52,51,0,0,0,0,2,0,0
R6S2,08-Aug-23,19,18,9,9,225,Quarter,38,35,32,29,31,0,0,0,0,0,0,0
R7S5,08-Aug-23,19,18,9,9,225,Quarter,56,45,53,49,47,0,0,0,0,0,0,0
R7S6,08-Aug-23,19,18,9,9,225,Quarter,49,50,38,45,39,0,0,0,0,0,0,0
R8S4,08-Aug-23,19,18,9,9,225,Quarter,36,49,45,39,41,0,0,0,0,0,0,0
R8S5,08-Aug-23,19,18,9,9,225,Quarter,47,63,39,52,49,0,0,0,0,0,0,0
R1S3,22-Aug-23,19,18,8,8,1125,Quarter,27,36,32,38,29,0,0,0,0,0,0,0
R1S4,22-Aug-23,19,18,8,8,1125,Quarter,25,27,28,26,24,0,0,0,0,0,0,0
R2S4,22-Aug-23,19,18,10,10,1125,Quarter,51,49,15,53,50,0,0,0,0,0,0,0
R2S5,22-Aug-23,19,18,10,10,1575,Quarter,20,19,22,23,21,0,0,0,0,0,0,0
R3S4,22-Aug-23,19,18,8,8,1125,Quarter,27,19,21,23,25,0,0,0,0,0,0,0
R3S6,22-Aug-23,19,18,10,10,1125,Quarter,35,38,40,41,32,0,0,0,0,0,0,0
R4S6,22-Aug-23,19,18,10,10,1575,Quarter,12,10,11,13,11,0,0,0,0,0,0,0
R4S4,22-Aug-23,19,18,10,10,2250,Quarter,39,41,35,37,42,0,0,0,0,0,0,0
R5S1,22-Aug-23,19,18,8,8,225,Quarter,80,85,90,83,91,0,0,0,0,0,0,0
R5S4,22-Aug-23,19,18,8,8,225,Quarter,42,37,39,41,43,0,0,0,0,0,0,0
R6S1,22-Aug-23,19,18,8,8,1125,Quarter,50,47,53,61,49,0,0,0,0,1,0,0
R6S2,22-Aug-23,19,18,8,8,1350,Whole,30,27,29,26,32,0,0,0,0,0,0,0
R7S2,22-Aug-23,19,18,8,8,1125,Whole,37,35,40,42,38,0,0,0,0,0,0,0
R7S3,22-Aug-23,19,18,8,8,1125,Whole,15,20,18,19,16,0,0,0,0,0,0,0
R8S3,22-Aug-23,19,18,8,8,1125,Half,17,15,14,16,25,0,0,0,0,0,0,0
R8S5,22-Aug-23,19,18,8,8,1125,Whole,30,32,25,27,29,0,0,0,0,0,0,0
R7S1,05-Sep-23,19,18,7,7,1350,Quarter,45,42,38,41,39,0,0,0,0,0,0,0
R7S3,05-Sep-23,19,18,9,9,1350,Half,18,15,22,19,26,0,0,0,0,0,0,0
R6S2,05-Sep-23,19,18,7,7,225,Quarter,51,57,61,55,58,0,0,0,0,0,0,0
R6S5,05-Sep-23,19,18,7,7,1125,Quarter,27,25,21,15,18,0,0,0,0,0,0,0
R5S5,05-Sep-23,19,18,7,7,225,Quarter,65,72,68,75,69,0,0,0,0,0,0,0
R5S6,05-Sep-23,19,18,7,7,225,Quarter,27,25,29,28,31,0,0,0,0,0,1,0
R4S1,05-Sep-23,19,18,8,8,1575,Quarter,56,60,41,45,53,0,0,0,0,0,0,0
R4S5,05-Sep-23,19,18,8,8,1800,Quarter,18,24,22,19,23,0,0,0,0,0,0,0
R3S1,05-Sep-23,19,18,7,7,1800,Quarter,38,40,42,35,38,0,0,0,0,0,0,0
R3S6,05-Sep-23,19,18,8,8,1575,Half,31,28,40,32,43,0,0,0,0,0,0,0
R2S6,05-Sep-23,19,18,8,8,1575,Quarter,42,47,53,61,49,0,0,0,0,0,0,0
R2S5,05-Sep-23,19,18,8,8,1800,Quarter,32,35,33,34,38,0,0,0,0,0,0,0
R1S1,05-Sep-23,19,18,8,8,1575,Quarter,38,36,45,42,47,0,0,0,0,0,0,0
R1S2,05-Sep-23,19,18,8,8,1800,Quarter,32,29,28,31,27,0,0,0,0,0,0,0
R8S2,05-Sep-23,19,18,7,7,1125,Half,20,18,16,21,15,0,0,0,0,0,0,0
R8S3,05-Sep-23,19,18,7,7,1125,Half,27,12,15,14,17,0,0,0,0,1,0,0
R1S2,19-Sep-23,19,18,9,9,1125,Quarter,34,25,27,31,36,0,0,0,0,0,0,0
R1S6,19-Sep-23,19,18,9,9,1125,Half,30,28,21,22,18,0,0,0,0,0,0,0
R2S1,19-Sep-23,19,18,7,7,1125,Quarter,34,38,42,45,39,1,0,0,0,1,0,0
R2S3,19-Sep-23,19,18,7,7,1125,Quarter,42,38,45,47,41,0,0,0,0,0,0,0
R3S2,19-Sep-23,19,18,7,7,1125,Quarter,50,53,47,45,52,0,0,0,0,0,0,0
R3S5,19-Sep-23,19,18,7,7,1125,Whole,31,35,27,25,26,1,0,0,0,0,0,0
R4S5,19-Sep-23,19,18,7,7,1125,Quarter,45,38,51,49,53,0,0,0,0,0,0,0
R4S3,19-Sep-23,19,18,7,7,1125,Quarter,25,23,31,27,29,0,0,0,0,0,0,0
R5S4,19-Sep-23,19,18,7,7,225,Whole,31,33,35,28,29,0,0,0,0,0,0,0
R5S6,19-Sep-23,19,18,7,7,225,Quarter,31,28,34,33,29,0,0,0,0,0,0,0
R6S2,19-Sep-23,19,18,7,7,1125,Whole,20,30,25,27,26,0,0,0,0,0,1,0
R6S5,19-Sep-23,19,18,7,7,225,Quarter,45,47,51,43,49,0,0,0,0,0,0,0
R7S4,19-Sep-23,19,18,7,7,1125,Quarter,40,25,22,26,31,0,0,0,0,0,0,0
R7S5,19-Sep-23,19,18,7,7,225,Quarter,37,36,42,39,41,0,0,0,0,0,1,
R8S4,19-Sep-23,19,18,7,7,225,Quarter,57,60,63,62,58,0,0,0,0,0,0,0
R8S2,19-Sep-23,19,18,7,7,1125,Half,37,36,41,29,42,0,0,0,0,0,0,0
R2S1,03-Oct-23,19,18,9,9,1800,Half,31,27,29,32,38,0,0,0,0,0,0,0
R3S1,03-Oct-23,19,18,7,7,2025,Quarter,17,22,24,26,19,0,0,0,0,0,0,0
R3S2,03-Oct-23,19,18,9,9,1800,Whole,8,7,6,9,8,0,0,0,0,0,0,0
R4S2,03-Oct-23,19,18,9,9,1800,Quarter,30,32,28,31,27,0,0,0,0,0,0,0
R2S3,03-Oct-23,19,18,9,9,1800,Half,27,31,29,32,28,2,0,0,0,1,0,0
R3S3,03-Oct-23,19,18,9,9,1800,Half,18,19,22,24,20,0,0,0,0,0,0,0
R1S4,03-Oct-23,19,18,9,9,1800,Half,35,32,37,41,38,0,0,0,0,0,0,0
R2S4,03-Oct-23,19,18,9,9,1800,Quarter,31,42,38,37,35,0,0,0,0,0,0,0
R2S5,03-Oct-23,19,18,9,9,1350,Quarter,29,35,38,31,27,1,0,0,0,1,0,0
R3S5,03-Oct-23,19,18,9,9,1350,Quarter,34,38,42,45,36,0,0,0,0,0,0,0
R1S6,03-Oct-23,19,18,9,9,1350,Whole,45,50,52,43,47,1,0,0,0,1,0,0
R4S6,03-Oct-23,19,18,9,9,1350,Half,21,23,27,25,28,0,0,0,0,3,0,0
R5S1,03-Oct-23,19,18,9,9,1575,Half,42,37,41,38,50,0,0,0,0,1,0,0
R8S1,03-Oct-23,19,18,9,9,1350,Quarter,36,42,51,39,45,0,0,0,0,0,0,0
R6S2,03-Oct-23,19,18,9,9,225,Quarter,75,68,82,73,69,0,0,0,0,0,0,0
R7S2,03-Oct-23,19,18,9,9,225,Quarter,65,63,71,56,50,0,0,0,0,0,0,0
R7S3,03-Oct-23,19,18,8,8,225,Quarter,64,56,62,49,63,0,0,0,0,0,0,0
R8S3,03-Oct-23,19,18,6,6,225,Quarter,83,75,69,66,71,0,0,0,0,0,0,0
R6S4,03-Oct-23,19,18,7,7,225,Quarter,83,75,81,79,82,0,0,0,0,0,0,0
R7S4,03-Oct-23,19,18,7,7,225,Quarter,93,87,91,85,92,0,0,0,0,0,0,0
R5S5,03-Oct-23,19,18,7,7,225,Quarter,65,71,69,73,68,0,0,0,0,0,0,0
R6S5,03-Oct-23,19,18,7,7,1125,Quarter,32,29,36,33,37,0,0,0,0,0,0,0
R6S6,03-Oct-23,19,18,8,8,225,Quarter,95,105,101,97,99,0,0,0,0,0,0,0
R7S6,03-Oct-23,19,18,8,8,1575,Quarter,20,21,23,25,19,0,0,0,0,0,0,0
R2S5,26-Feb-24,19,18,7,7,1125,Quarter,63,51,57,65,53,0,0,0,0,0,0,0
R2S1,26-Feb-24,19,18,15,15,1125,Quarter,25,20,21,24,26,0,0,0,0,0,0,0
R7S4,26-Feb-24,19,18,7,7,225,Quarter,12,15,11,14,9,0,0,0,0,0,0,0
R3S5,26-Feb-24,19,18,8,8,1125,Whole,3,4,2,1,3,0,0,0,0,0,0,0
R6S6,26-Feb-24,19,18,8,8,225,Quarter,35,42,37,41,45,0,0,0,0,0,0,0
R2S3,26-Feb-24,19,18,8,8,1125,Quarter,21,22,23,27,35,0,0,0,0,1,0,0
R7S6,26-Feb-24,19,18,7,7,1125,Half,17,21,34,31,29,0,0,0,0,0,1,0
R6S2,26-Feb-24,19,18,7,7,1125,Quarter,15,18,20,21,23,0,0,0,0,0,0,0
R3S3,26-Feb-24,19,18,7,7,1125,Quarter,15,18,17,14,21,0,0,0,0,1,0,0
R7S2,26-Feb-24,19,18,7,7,1125,Whole,17,22,27,19,23,0,0,0,0,0,0,0
R6S4,26-Feb-24,19,18,7,7,1125,Quarter,24,25,22,23,21,0,0,0,0,1,0,0
R3S1,26-Feb-24,19,18,5,5,600,Whole,15,20,24,23,22,0,0,0,0,0,0,0
R1S5,13-Jun-23,19,18,15,15,1125,Quarter,21,20,28,26,20,0,0,0,0,0,0,0
R1S4,13-Jun-23,19,18,15,15,2250,Whole,40,51,60,45,50,0,0,0,0,1,0,0
R2S1,13-Jun-23,19,18,15,15,1575,Quarter,31,27,35,26,25,0,0,0,0,0,0,0
R2S3,13-Jun-23,19,18,15,15,1575,Whole,20,28,27,21,29,0,0,0,0,0,0,0
R3S1,13-Jun-23,19,18,15,15,1125,Half,25,20,18,23,24,0,0,0,0,0,0,0
R3S5,13-Jun-23,19,18,15,15,1575,Half,20,19,17,12,11,0,0,0,0,1,1,0
R4S4,13-Jun-23,19,18,15,15,1350,Quarter,20,22,18,26,31,0,0,0,0,0,0,0
R4S6,13-Jun-23,19,18,15,15,1350,Whole,30,32,27,29,31,0,0,0,0,0,0,0
R5S6,13-Jun-23,19,18,15,15,1125,Whole,10,12,14,11,8,1,1,0,0,0,0,0
R5S3,13-Jun-23,19,18,15,15,1125,Whole,28,23,18,21,19,0,0,0,0,0,0,0
R6S6,13-Jun-23,19,18,15,15,225,Quarter,28,35,42,36,27,0,0,0,0,0,0,0
R6S2,13-Jun-23,19,18,15,15,225,Quarter,25,26,30,32,24,0,0,0,0,0,0,0
R7S5,13-Jun-23,19,18,15,15,225,Quarter,37,42,38,48,40,0,0,0,0,1,0,0
R7S2,13-Jun-23,19,18,15,15,225,Quarter,33,41,37,35,40,0,0,0,0,0,0,0
R8S6,13-Jun-23,19,18,15,15,225,Quarter,50,45,47,40,38,0,0,0,0,0,0,0
R8S5,13-Jun-23,19,18,15,15,225,Quarter,60,58,49,55,57,0,0,0,0,0,0,0
